nom,code,terrain,taille,impassable,pays,cite,continent,latitude,longitude
Sahara el Beyda,FEATURE_WHITEDESERT,TERRAIN_DESERT,4,0,Egypt,Farafra,Africa,27.32775,28.18963
Tsingy de Bemaraha,FEATURE_TSINGY,TERRAIN_GRASS,1,1,Madagascar,Antslova,Africa,-18.42645,44.74215
Eye of Sahara,FEATURE_EYE_OF_THE_SAHARA,TERRAIN_DESERT,3,0,Mauritania,Ouadane,Africa,21.12693,-11.40165
Lake Retba,FEATURE_LAKE_RETBA,TERRAIN_GRASS,2,0,Senegal,Dakar,Africa,14.83857,-17.23411
Mount Kilimanjaro,FEATURE_KILIMANJARO,TERRAIN_GRASS_MOUNTAIN,1,1,Tanzania,Moshi,Africa,-3.06768,37.35563
Zhangye Danxia,FEATURE_ZHANGYE_DANXIA,TERRAIN_DESERT_MOUNTAIN,3,1,China,Zhangye,Asia,38.93526,100.11624
Ubsunur Hollow,FEATURE_UBSUNUR_HOLLOW,TERRAIN_TUNDRA,4,0,Mongolia,Torgalyg,Asia,50.3182,92.70023
Mount Everest,FEATURE_EVEREST,TERRAIN_GRASS_MOUNTAIN,3,1,Nepal,Chukhung,Asia,27.98782,86.92515
Chocolate Hills,FEATURE_CHOCOLATEHILLS,TERRAIN_GRASS,4,0,Philipines,Carmen,Asia,9.82937,124.13985
Hạ Long Bay,FEATURE_HA_LONG_BAY,TERRAIN_COAST,2,0,Vietnam,Hạ Long,Asia,20.90965,107.18368
Ik-Kil,FEATURE_IKKIL,TERRAIN_GRASS,1,1,Mexico,Pisté,Central America,20.66069,-88.55027
Fountain of Youth,FEATURE_FOUNTAIN_OF_YOUTH,TERRAIN_GRASS,1,0,Puerto Rico,San Juan,Central America,,
Gobustan,FEATURE_GOBUSTAN,TERRAIN_PLAINS,3,0,Azerbaijan,Baku,Eurasia,40.11141,49.37835
Dead Sea,FEATURE_DEAD_SEA,TERRAIN_GRASS,2,0,Israel,Masada,Eurasia,31.55583,35.47312
Pamukkale,FEATURE_PAMUKKALE,TERRAIN_GRASS,2,1,Turkey,Denizli ,Eurasia,37.91355,29.11859
Eyjafjallajökull,FEATURE_EYJAFJALLAJOKULL,TERRAIN_SNOW,2,1,Iceland,Vik,Europe,63.62341,-19.6116
Mount Vesuvius ,FEATURE_VESUVIUS,TERRAIN_GRASS_MOUNTAIN,1,1,Italy,Napoli,Europe,40.82219,14.42873
Lysefjord,FEATURE_LYSEFJORDEN,TERRAIN_PLAINS,3,1,Norway,Stavanger,Europe,59.00415,6.31701
Matterhorn,FEATURE_MATTERHORN,TERRAIN_GRASS_MOUNTAIN,1,1,Switzerland,Zermatt,Europe,45.97639,7.65819
Cliff of Dover,FEATURE_CLIFFS_DOVER,TERRAIN_GRASS_HILLS,2,0,UK,Dover,Europe,51.13418,1.35748
Giant's Causeway,FEATURE_GIANTS_CAUSEWAY,TERRAIN_PLAINS,1,1,UK,Coleraine,Europe,55.24046,-6.51185
Bermuda Triangle,FEATURE_BERMUDA_TRIANGLE,TERRAIN_OCEAN,3,0,US,Bermuda,North America,25,-71
Crater Lake,FEATURE_CRATER_LAKE,TERRAIN_PLAINS,1,0,US,Roseburg,North America,42.9438,-122.10906
Delicate Arch,FEATURE_DELICATE_ARCH,TERRAIN_DESERT,1,1,US,Moab,North America,38.74376,-109.49946
Mato Tipila,FEATURE_DEVILSTOWER,TERRAIN_GRASS,1,1,US,sundance,North America,44.59021,-104.71463
Yosemite,FEATURE_YOSEMITE,TERRAIN_PLAINS,2,1,US,mariposa,North America,37.86499,-119.53745
Great Barrier Reef,FEATURE_BARRIER_REEF,TERRAIN_COAST,2,0,Australia,Cairnes,Oceania,-16.92745,146.16681
Uluru,FEATURE_ULURU,TERRAIN_DESERT,1,1,Australia,Alice Springs,Oceania,-25.34457,131.0368
Piopiotahi,FEATURE_PIOPIOTAHI,TERRAIN_GRASS,3,1,New Zealand,Milford Sound,Oceania,-44.64112,167.89759
Païtiti,FEATURE_PAITITI,TERRAIN_PLAINS,3,1,Brazil,Rio Branco,South America,-10.03366,-67.81931
Pantanal,FEATURE_PANTANAL,TERRAIN_GRASS,4,0,Brazil,Corumba,South America,-17.8728,-57.44372
Torres del Paine,FEATURE_TORRES_DEL_PAINE,TERRAIN_GRASS,2,1,Chile,Punta Arenas,South America,-50.94235,-73.40681
Galápagos Islands,FEATURE_GALAPAGOS,TERRAIN_COAST,2,1,Ecuador,Galápagos Islands,South America,-0.63347,-90.97671
Mount Roraima,FEATURE_RORAIMA,TERRAIN_GRASS,4,1,Venezuela,Santa Elena de Uairén,South America,5.13139,-60.75857
